time,speed,lateralAcceleration,elapsedDistance,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz
0,59.66035114,14.85905603,0,2.945139453,1,3.2,2494.64428,120,42.03919814,636.4783755,247.8973852,34.05842248,86.89500802,0,18.48312447,1,62.34944477,1.8,1.3,-360.8467465,0,0,-0.247727502,0.065102858,0,3187.078376
0.01,59.66035114,14.85905603,0,2.945139453,1,3.2,2494.64428,120,42.03919814,636.4783755,247.8973852,34.05842248,86.89500802,0,18.48312447,1,62.34944477,1.8,1.3,-360.8467465,0,0,-0.247727502,0.065102858,0,3187.078376
0.02,59.66035114,14.85905603,0.25,2.945139453,1,3.2,2494.64428,120,56.21217185,636.4783755,443.224572,0,26.35581288,0,-26.62496226,1,79.77406943,1.3,1.8,0,0,0,-0.247727502,0.065102858,0,3187.078376
0.03,59.81504157,-10.85101506,0.5,2.84842141,1,3.2,2501.112522,120,42.14819953,639.7832423,249.184574,35.54917131,86.82696132,30.42109252,-25.44166032,1,77.21937868,1.8,1.3,-0.560675359,-4.482536148,-31.11685629,-0.494156562,0.139044133,0,3190.383242
0.04,59.81504157,-10.85101506,0.5,2.84842141,1,3.2,2501.112522,120,42.14819953,639.7832423,249.184574,35.54917131,86.82696132,30.42109252,-25.44166032,1,77.21937868,1.8,1.3,-0.560675359,-4.482536148,-31.11685629,-0.494156562,0.139044133,0,3190.383242
0.05,60.0881351,-11.48447222,0.75,5.041697888,1,3.2,2512.531684,120,42.34063275,645.6386097,251.4651389,0,86.70640021,0,-24.25835838,1,74.67972682,1.8,1.3,-1.14710015,-5.909791836,-9.933408594,-0.739649821,0.215331004,0,3196.23861
0.06,60.35949628,-12.18269692,1,5.032588674,1,3.2,2523.87841,120,42.53184528,651.4832532,253.7415271,0,86.58605989,0,-23.07505644,1,72.15074934,1.8,1.3,-1.798925951,-6.431560364,-3.647982232,-0.98415224,0.29406297,0,3202.083253
0.07,60.35949628,-12.18269692,1,5.032588674,1,3.2,2523.87841,120,42.53184528,651.4832532,253.7415271,0,86.58605989,0,-23.07505644,1,72.15074934,1.8,1.3,-1.798925951,-6.431560364,-3.647982232,-0.98415224,0.29406297,0,3202.083253
0.08,60.62914942,-11.31459348,1.25,5.023496144,1,3.2,2535.153714,120,42.72185424,657.3171956,256.0137474,100,86.46593992,0,-25.06796009,1,76.41590669,1.8,1.3,-2.402905632,-6.2681519,1.14764155,-1.228248651,0.375740507,0,3207.917196
0.09,60.89711824,-10.34506951,1.5,5.014420262,1,3.2,2546.358591,120,42.91067637,663.1404594,258.2818085,23.28352426,86.34603981,0,-27.66018425,1,82.02472931,1.8,1.3,-2.949035761,-5.864866282,2.844987215,-1.472099596,0.460204482,0,3213.740459
0.1,60.89711824,-10.34506951,1.5,5.014420262,1,3.2,2546.358591,120,42.91067637,663.1404594,258.2818085,23.28352426,86.34603981,0,-27.66018425,1,82.02472931,1.8,1.3,-2.949035761,-5.864866282,2.844987215,-1.472099596,0.460204482,0,3213.740459
0.11,61.16342591,-9.541543846,1.75,5.005360992,1,3.2,2557.494009,120,43.09832798,668.9530672,260.5457193,0,86.22635911,0,-30.25240841,1,87.74350857,1.8,1.3,-3.44754417,-5.37818277,3.448494068,-1.71575507,0.547210554,0,3219.553067
0.12,61.42809505,-8.864713127,2,4.9963183,1,3.2,2568.560912,120,43.28482501,674.7550412,262.8054885,0,86.10689735,77.28579797,-32.84463257,1,93.6159741,1.8,1.3,-3.906174599,-5.149692459,1.626094196,-1.959257913,0.636558401,0,3225.355041
0.13,61.42809505,-8.864713127,2,4.9963183,1,3.2,2568.560912,120,43.28482501,674.7550412,262.8054885,0,86.10689735,77.28579797,-32.84463257,1,93.6159741,1.8,1.3,-3.906174599,-5.149692459,1.626094196,-1.959257913,0.636558401,0,3225.355041
0.14,61.69114775,-8.28677422,2.25,4.987292151,1,3.2,2579.560226,120,43.47018303,680.5464037,265.0611246,0,85.98765409,76.41924175,-35.43685673,1,99.68718357,1.8,1.3,-4.314758936,-4.915318181,1.67518627,-2.202645248,0.728080944,0,3231.146404
0.15,61.95260561,-8.658481451,2.5,4.978282511,1,3.2,2590.492853,120,43.65441726,686.3271768,267.3126363,0,85.86862886,76.88630314,-34.20364742,1,96.7711545,1.8,1.3,-4.741585531,-4.937846118,-0.161707583,-2.445150402,0.82125097,0,3236.927177
0.16,62.21248972,-8.828413589,2.75,4.969289344,1,3.2,2601.359674,120,43.83754255,692.0973824,269.5600322,0,85.74982121,77.36884395,-33.82731222,1,95.89157996,1.8,1.3,-5.172903271,-4.937518272,0.002363279,-2.686917871,0.916210453,0,3242.697382
0.17,62.21248972,-8.828413589,2.75,4.969289344,1,3.2,2601.359674,120,43.83754255,692.0973824,269.5600322,0,85.74982121,77.36884395,-33.82731222,1,95.89157996,1.8,1.3,-5.172903271,-4.937518272,0.002363279,-2.686917871,0.916210453,0,3242.697382
0.18,62.47082069,-9.002033285,3,4.960312617,1,3.2,2612.161553,120,44.01957344,697.8570424,271.8033207,0,85.6312307,77.86705565,-33.45097701,1,95.0165633,1.8,1.3,-5.608811984,-5.118166399,-1.30766697,-2.92792723,1.012972612,0,3248.457042
0.19,62.72761868,-9.179466698,3.25,4.951352296,1,3.2,2622.899332,120,44.20052414,703.6061784,274.0425104,0,85.51285687,73.98647271,-33.0746418,1,94.14595973,1.8,1.3,-6.034645499,-5.305994297,-1.365285307,-3.168157509,1.111550814,0,3254.206178
0.2,62.72761868,-9.179466698,3.25,4.951352296,1,3.2,2622.899332,120,44.20052414,703.6061784,274.0425104,0,85.51285687,73.98647271,-33.0746418,1,94.14595973,1.8,1.3,-6.034645499,-5.305994297,-1.365285307,-3.168157509,1.111550814,0,3254.206178
0.21,62.98290341,-10.12933628,3.5,4.942408347,1,3.2,2633.573835,120,44.38040852,709.3448121,276.2776096,0,85.39469929,69.30520905,-30.21755791,1,87.66570324,1.8,1.3,-6.499077774,-5.714414726,-2.980934046,-3.407083649,1.211675005,0,3259.944812
0.22,63.23669415,-11.16142404,3.75,4.933480737,1,3.2,2644.185868,120,44.55924017,715.0729651,278.5086267,0,85.2767575,62.54399341,-27.64481618,1,81.99119641,1.8,1.3,-7.002656336,-6.239003792,-3.844395138,-3.644691481,1.313518764,0,3265.672965
0.23,63.23669415,-11.16142404,3.75,4.933480737,1,3.2,2644.185868,120,44.55924017,715.0729651,278.5086267,0,85.2767575,62.54399341,-27.64481618,1,81.99119641,1.8,1.3,-7.002656336,-6.239003792,-3.844395138,-3.644691481,1.313518764,0,3265.672965
0.24,63.48900976,-12.40514476,4,4.924569432,1,3.2,2654.736219,120,44.73703238,720.7906586,280.73557,1.402070416,85.15903107,51.73624742,-25.07207445,1,76.42474507,1.8,1.3,-7.552786591,-7.069666108,-6.111949756,-3.8809018,1.417230361,0,3271.390659
